nohup: ignoring input
spin up orbital energies: {0: -3.0, 2: -1.0, 4: -1.0, 6: 1.0, 8: 1.0, 10: 3.0, 12: -1.0, 14: 1.0}
spin down orbital energies:  {1: -3.0, 3: -1.0, 5: -1.0, 7: 1.0, 9: 1.0, 11: 3.0, 13: -1.0, 15: 1.0}
spin up indices:  [0, 2, 4, 12]    spin down indices:  [1, 3, 5, 13] 

iter: 1 | loss:  0.000000 | norm:  0.000000 | fidelity:  0.356004 | Sz:  0.000000 | S^2:  0.000000
iter: 2 | loss:  0.000000 | norm:  0.000001 | fidelity:  0.356004 | Sz: -0.000000 | S^2:  0.000000
iter: 3 | loss:  1.407288 | norm:  94.506248 | fidelity:  0.275302 | Sz:  0.000000 | S^2: -0.000000
iter: 4 | loss:  0.003169 | norm:  6.250275 | fidelity:  0.355807 | Sz: -0.000000 | S^2:  0.000000
iter: 5 | loss:  0.800253 | norm:  76.507469 | fidelity:  0.308244 | Sz: -0.000000 | S^2: -0.000000
iter: 6 | loss:  0.928356 | norm:  84.291588 | fidelity:  0.301047 | Sz: -0.000000 | S^2:  0.000000
iter: 7 | loss:  0.245268 | norm:  53.778839 | fidelity:  0.340821 | Sz: -0.000000 | S^2:  0.000000
iter: 8 | loss: -0.125286 | norm:  15.511162 | fidelity:  0.363976 | Sz:  0.000000 | S^2: -0.000000
iter: 9 | loss:  0.020512 | norm:  38.902210 | fidelity:  0.354692 | Sz: -0.000000 | S^2: -0.000000
iter: 10 | loss: -0.120714 | norm:  49.609146 | fidelity:  0.363770 | Sz: -0.000000 | S^2: -0.000000
iter: 11 | loss: -0.848723 | norm:  42.091846 | fidelity:  0.414867 | Sz:  0.000000 | S^2: -0.000000
iter: 12 | loss: -1.739593 | norm:  30.957909 | fidelity:  0.490456 | Sz: -0.000000 | S^2:  0.000000
iter: 13 | loss: -2.219169 | norm:  31.970648 | fidelity:  0.551523 | Sz: -0.000000 | S^2: -0.000000
iter: 14 | loss: -2.094694 | norm:  44.788868 | fidelity:  0.571921 | Sz: -0.000000 | S^2: -0.000000
iter: 15 | loss: -1.820533 | norm:  53.380768 | fidelity:  0.576408 | Sz:  0.000000 | S^2:  0.000000
iter: 16 | loss: -1.820169 | norm:  51.507599 | fidelity:  0.595119 | Sz: -0.000000 | S^2:  0.000000
iter: 17 | loss: -2.053528 | norm:  41.819656 | fidelity:  0.622310 | Sz: -0.000000 | S^2:  0.000000
iter: 18 | loss: -2.276632 | norm:  32.176422 | fidelity:  0.634183 | Sz: -0.000000 | S^2: -0.000000
iter: 19 | loss: -2.341367 | norm:  31.883337 | fidelity:  0.619616 | Sz: -0.000000 | S^2:  0.000000
iter: 20 | loss: -2.323402 | norm:  36.636387 | fidelity:  0.595730 | Sz:  0.000000 | S^2:  0.000000
iter: 21 | loss: -2.388788 | norm:  37.335907 | fidelity:  0.587474 | Sz: -0.000000 | S^2:  0.000000
iter: 22 | loss: -2.583209 | norm:  31.719229 | fidelity:  0.602604 | Sz: -0.000000 | S^2:  0.000000
