spin up orbital energies: {0: -2.0, 2: 0, 4: 0, 6: 2.0}
spin down orbital energies:  {1: -2.0, 3: 0, 5: 0, 7: 2.0}
spin up indices:  [0, 2]    spin down indices:  [1, 3] 

ground state energy:  -2.102748483462071
particle number:  4

learning rate =  0.0999999982885729
Find operators
1j [1^ 0^ 5 4] + -1j [5^ 4^ 1 0]
1j [1^ 0^ 7 6] + -1j [7^ 6^ 1 0]
1j [3^ 0^ 7 4] + -1j [7^ 4^ 3 0]
1j [3^ 2^ 5 4] + -1j [5^ 4^ 3 2]
1j [3^ 2^ 7 6] + -1j [7^ 6^ 3 2]
-1j [2^ 1^ 7 4] + 1j [7^ 4^ 2 1]
1j [2^ 1^ 6 5] + -1j [6^ 5^ 2 1]
-1j [3^ 0^ 6 5] + 1j [6^ 5^ 3 0]
with max gradients
[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]

iter: 1 | loss: -0.000000 | norm:  5.656854 | fidelity:  0.424914 | Sz:  0.000000 | S^2: -0.000000
iter: 2 | loss: -1.236918 | norm:  3.170238 | fidelity:  0.585334 | Sz:  0.000000 | S^2:  0.000024
iter: 3 | loss: -1.676207 | norm:  1.847928 | fidelity:  0.678290 | Sz:  0.000000 | S^2:  0.001120
iter: 4 | loss: -1.630161 | norm:  2.459890 | fidelity:  0.713741 | Sz:  0.000000 | S^2:  0.006122
iter: 5 | loss: -1.522143 | norm:  2.852999 | fidelity:  0.739124 | Sz: -0.000000 | S^2:  0.011387
iter: 6 | loss: -1.525012 | norm:  2.702197 | fidelity:  0.775101 | Sz: -0.000000 | S^2:  0.011019
iter: 7 | loss: -1.605387 | norm:  2.317704 | fidelity:  0.818434 | Sz:  0.000000 | S^2:  0.006421
iter: 8 | loss: -1.697125 | norm:  2.015003 | fidelity:  0.861482 | Sz:  0.000000 | S^2:  0.002135
iter: 9 | loss: -1.773858 | norm:  1.846393 | fidelity:  0.899352 | Sz:  0.000000 | S^2:  0.000405
iter: 10 | loss: -1.832067 | norm:  1.680365 | fidelity:  0.929221 | Sz: -0.000000 | S^2:  0.000401
iter: 11 | loss: -1.868498 | norm:  1.507873 | fidelity:  0.949941 | Sz: -0.000000 | S^2:  0.000453
iter: 12 | loss: -1.884584 | norm:  1.431580 | fidelity:  0.962735 | Sz:  0.000000 | S^2:  0.000356
iter: 13 | loss: -1.888206 | norm:  1.496122 | fidelity:  0.969882 | Sz:  0.000000 | S^2:  0.002702
